MeterID,Name,Totalflow,Col_Order,IsActive,READINGTYPE,ITEM,Statutory,Description,MeterType,MeterNo,MasterStationID,Date_Time,UOMID,GroupID,Level,Formula,FlowRate,MaxReading,Prefix,ActualFormula,SlaveID,FlowRate_Current
1,RO-1 FEED,61533.66,1010,1,Auto,Energy,0,RO-1 FEED,81,NULL,NULL,19-02-2025 14:58,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
2,RO-2 FEED,43778.78,1020,1,Auto,Energy,0,RO-2 FEED,81,NULL,NULL,19-02-2025 14:58,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
3,RO-3 FEED,42980.7,1030,1,Auto,Energy,0,RO-3 FEED ,181,NULL,NULL,19-02-2025 14:58,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
4,RO-4 FEED,27683.43,1040,1,Auto,Energy,0,RO-4 FEED ,181,NULL,NULL,19-02-2025 12:28,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
5,RO-5 FEED,28622.3867,1050,1,Auto,Energy,0,RO-5 FEED ,181,NULL,NULL,19-02-2025 14:58,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
6,RO-6 FEED,53391.2148,1060,1,Auto,Energy,0,RO-6 FEED,181,NULL,NULL,19-02-2025 14:58,6,2,1,NULL,100,99999999,A,NULL,NULL,-1
7,MCC-5,1629596.032,1150,1,Auto,Energy,0,MCC-5,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
8,ETP-1,486652,1070,1,Auto,Energy,0,ETP-1,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
9,ETP-2,1047752,1080,1,Auto,Energy,0,ETP-2 ,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
10,ETP BLOWER,318243.84,1120,0,Auto,Energy,0,,8,NULL,NULL,01-12-2017 11:29,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
11,MCC-4,188886.8,1140,1,Auto,Energy,0,MCC-4 ,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
12,MCC-3,1726953.984,1130,1,Auto,Energy,0,MCC-3 ,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
13,SSB-2A,1852294.016,20,1,Auto,Energy,0,SSB-2A ,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
14,COMPRESSOR-1,1000668.032,50,1,Auto,Energy,0,COMPRESSOR-1,181,NULL,NULL,19-02-2025 14:58,6,5,1,NULL,100,99999999,A,NULL,NULL,-1
15,COMPRESSOR-2,85664.3984,60,1,Auto,Energy,0,COMPRESSOR-2,81,NULL,NULL,19-02-2025 14:58,6,5,1,NULL,100,99999999,A,NULL,NULL,-1
16,COMPRESSOR-3,41139.2305,70,1,Auto,Energy,0,COMPRESSOR-3,81,NULL,NULL,19-02-2025 14:58,6,5,1,NULL,100,99999999,A,NULL,NULL,-1
17,VTA 15-1,79815.128,0,0,Auto,Energy,0,,8,NULL,NULL,07-10-2017 16:52,6,4,1,NULL,100,99999999,A,NULL,NULL,-1
18,VTA 15-2,415952.864,0,0,Auto,Energy,0,,8,NULL,NULL,03-10-2017 16:28,6,4,1,NULL,100,99999999,A,NULL,NULL,-2
19,SSB 16,6034214.912,25,1,Auto,Energy,0,SSB 16,181,NULL,NULL,19-02-2025 14:58,6,4,1,NULL,100,99999999,A,NULL,NULL,-1
20,EVAPORATOR-1,75841.504,1160,1,Auto,Energy,0,EVAPORATOR-1,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
21,EVAPORATOR-2,189520.8,1170,1,Auto,Energy,0,EVAPORATOR-2,181,NULL,NULL,05-07-2023 12:03,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
22,EVAPORATOR-3,714759,1180,1,Auto,Energy,0,EVAPORATOR-3,81,NULL,NULL,26-09-2024 10:29,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
23,EVAPORATOR-4,2318320.128,1190,1,Auto,Energy,0,EVAPORATOR-4,181,NULL,NULL,24-09-2024 09:48,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
24,P.F.S 2,783800.875,298,1,Auto,Energy,0,P.F.S 2,81,NULL,NULL,26-09-2024 10:29,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
25,ADFT-1 500LTR,84668.1328,1220,1,Auto,Energy,0,ATFD ,181,NULL,NULL,26-09-2024 10:29,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
26,EVP STEAM PRESSURE,-0.2,3,1,Auto,Pressure,0,,24,NULL,NULL,06-11-2021 15:23,10,3,1,NULL,0,0,NULL,NULL,NULL,0
27,EVP STEAM FLOW,57420201,2,1,Auto,Steam,0,,16,NULL,NULL,10-07-2020 15:47,1,3,1,NULL,16000,99999999,A,NULL,NULL,3991
28,DYEING AIR FLOW,891437696,4,1,Auto,Water,0,,8,NULL,NULL,03-09-2024 10:27,2,15,1,NULL,99999999,10000000000,A,NULL,NULL,366.0461
29,KNITTING AIR FLOW,261631504,6,1,Auto,Water,0,,4,NULL,NULL,04-06-2024 13:35,2,15,1,NULL,300000,10000000000,A,NULL,NULL,2.97
30,THEIS 360 KGS,75660.464,0,0,Auto,Energy,0,,4,NULL,NULL,29-12-2016 05:40,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
31,THEIS 180 KGS,74328.68,0,0,Auto,Energy,0,,4,NULL,NULL,29-12-2016 06:35,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
32,THEIS 540 KGS,91556.976,0,0,Auto,Energy,0,,4,NULL,NULL,29-12-2016 08:08,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
33,THEIS 720 KGS,17833.764,0,0,Auto,Energy,0,,4,NULL,NULL,17-01-2017 10:17,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
34,THEIS 1080 KGS,48654.58,0,0,Auto,Energy,0,,4,NULL,NULL,29-12-2016 12:44,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
35,THIES 1440 KGS,6759.643,0,0,Auto,Energy,0,,8,NULL,NULL,03-02-2018 08:53,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
36,THIES 2000 KGS-1,52460.957,320,1,Auto,Energy,0,Thies-iMaster-2000Kg,81,NULL,NULL,19-02-2025 14:58,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
37,GME 100 KGS,54012.36,440,1,Auto,Energy,0,GME-100Kgs,181,NULL,NULL,19-02-2025 14:40,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
38,GME 240 KGS,75456,0,0,Auto,Energy,0,,4,NULL,NULL,27-01-2017 10:27,6,6,1,NULL,100,99999999,A,NULL,NULL,NULL
39,OWC-1,131461.4,0,0,Auto,Energy,0,NULL,8,NULL,NULL,12-10-2020 16:09,6,7,1,NULL,100,99999999,A,NULL,NULL,-1
40,OWC-2,311826.496,0,0,Auto,Energy,0,OWC-2 ,181,NULL,NULL,08-08-2023 09:37,6,7,1,NULL,100,99999999,A,NULL,NULL,-1
41,SANTEX DRYER,616125,660,1,Auto,Energy,0,SANTEX DRYER ,81,NULL,NULL,19-02-2025 15:42,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
42,EHWHA STENTER-2,813332.125,680,1,Auto,Energy,0,EHWHA STENTER-2,181,NULL,NULL,19-02-2025 15:42,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
43,TW COM (TUBTEX),30186.67,720,1,Auto,Energy,0,TW COM (TUBTEX),181,NULL,NULL,19-02-2025 15:42,6,7,1,NULL,100,99999999,A,NULL,NULL,-1
44,STRETCH PLES 2 (SANTEX),23362.08,650,0,Auto,Energy,0,STRETCH PLES 2 (SANTEX),4,NULL,NULL,21-06-2022 11:56,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
45,SLIT OPEN 1 (CORINO),65168.888,600,1,Auto,Energy,0,SLIT OPEN 1 (CORINO),4,NULL,NULL,19-02-2025 12:32,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
46,SLIT OPEN 3 (BIANCO),9094.0801,620,1,Auto,Energy,0,SLIT OPEN 3 (BIANCO),181,NULL,NULL,19-02-2025 12:32,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
47,THIES 1500 KGS,264156.7813,350,1,Auto,Energy,0,Thies-iMaster-1500Kg,81,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
48,STRETCH PLES 1 (BIANCO),5344.7749,640,1,Auto,Energy,0,STRETCH PLES 1 (BIANCO),181,NULL,NULL,19-02-2025 12:32,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
49,PRINTING AIR FLOW,525528608,5,1,Auto,Water,0,NULL,8,NULL,NULL,27-04-2024 11:28,2,15,1,NULL,2500000,1000000000,A,NULL,NULL,0
50,12T COAL BOILER STEAM,278968,1,1,Auto,Steam,0,,12,1,50,16-06-2022 17:25,1,3,1,NULL,12,999999,A,NULL,NULL,7.0747
51,DO_AERATION,1312131.2,0,0,Auto,DO,0,,38,NULL,NULL,23-06-2017 10:38,9,1,1,NULL,0,0,NULL,NULL,NULL,NULL
52,PRANAV 25-A KGS,55673.712,470,1,Auto,Energy,0,PRANAV 25-A KGS ,181,NULL,NULL,19-02-2025 12:28,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
53,PRANAV 25-B KGS,6570.6519,480,1,Auto,Energy,0,PRANAV 25-B KGS ,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
54,PRANAV 50 KGS,35421.02,450,1,Auto,Energy,0,Pranav-50Kgs ,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
55,THIES 200 KGS,261530.304,420,1,Auto,Energy,0,Thies-iMaster-200Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
56,THIES 250 KGS,256078.896,410,1,Auto,Energy,0,Thies-iMaster-250Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
57,THIES 400 KGS,604764.032,400,1,Auto,Energy,0,Thies-iMaster-400Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
58,THIES 500 KGS,431118.4,390,1,Auto,Energy,0,Thies-iMaster-500Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
59,THIES 750 KGS,1065355.008,380,1,Auto,Energy,0,Thies-iMaster-750Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
60,THIES 1000 KGS,1088006.016,370,1,Auto,Energy,0,Thies-iMaster-1000Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
61,THIES 1250 KGS,867897.6,360,1,Auto,Energy,0,Thies-iMaster-1250Kg,181,NULL,NULL,19-02-2025 12:32,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
62,THIES 100 KGS,269931.296,430,1,Auto,Energy,0,Thies-iMaster-100Kg,181,NULL,NULL,19-02-2025 12:18,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
63,RBE 10-A KGS,40861.48,500,1,Auto,Energy,0,RBE 10-A KGS ,181,NULL,NULL,19-02-2025 12:18,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
64,RBE 10-B KGS,22944.03,510,1,Auto,Energy,0,RBE 10-B KGS ,181,NULL,NULL,19-02-2025 11:47,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
65,PRANAV 25-C KGS,6816.6802,490,1,Auto,Energy,0,Pranav-25Kgs ,81,NULL,NULL,19-02-2025 06:07,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
66,THIES 30 KGS,55495.352,460,1,Auto,Energy,0,THIES 30 KGS ,181,NULL,NULL,19-02-2025 12:18,6,6,1,NULL,100,99999999,A,NULL,NULL,-1
67,REVERSING M/C,48601.592,760,1,Auto,Energy,0,REVERSING M/C,181,NULL,NULL,19-02-2025 14:58,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
68,COMPRESSOR-4,61814.1523,90,1,Auto,Energy,0,COMPRESSOR-4,181,NULL,NULL,19-02-2025 14:58,6,5,1,NULL,100,99999999,A,NULL,NULL,-1
69,SLIT OPEN 4 (E+L),472.128,630,1,Auto,Energy,0,SLIT OPEN 4 (E+L),181,NULL,NULL,19-02-2025 12:18,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
70,AGER,8311.32,0,0,Auto,Energy,0,,8,NULL,NULL,29-06-2018 11:18,6,8,1,NULL,100,99999999,A,NULL,NULL,-2
71,INSPECTION,6348.1138,770,1,Auto,Energy,0,INSPECTION,81,NULL,NULL,19-02-2025 14:58,6,8,1,NULL,100,99999999,A,NULL,NULL,-1
72, ADFT-2 (B) 350LTR,387929.2188,1230,1,Auto,Energy,0,ATFD-2,81,NULL,NULL,29-01-2024 08:19,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
73,ETP NEW,2816770.048,1090,1,Auto,Energy,0,ETP NEW,181,NULL,NULL,26-09-2024 15:11,6,1,1,NULL,100,99999999,A,NULL,NULL,-1
74,MV PANEL-1,11285978,10,1,Auto,Energy,0,MV PANEL-1,181,NULL,NULL,19-02-2025 14:58,6,9,1,NULL,9999999,99999999,A,NULL,NULL,-1
